WKT,name,description,crimeScore,crimeScoreLabel,Count
"POLYGON ((-63.6276798 44.6682111, -63.630598 44.6638159, -63.6311833 44.6560305, -63.6292364 44.6477894, -63.6015872 44.6338954, -63.5912876 44.6508726, -63.6086254 44.6542919, -63.6276798 44.6682111))",WestEnd,,8,Dangerous,8.0
"POLYGON ((-63.6276798 44.6682111, -63.6086254 44.6542919, -63.5912876 44.6508726, -63.5879888 44.6621115, -63.6010555 44.6723798, -63.6083628 44.6754379, -63.6172154 44.6750775, -63.6276798 44.6682111))",NorthEnd,,2,Risky,2.0
"POLYGON ((-63.5879888 44.6621115, -63.5912876 44.6508726, -63.5947201 44.6450717, -63.5748081 44.64098, -63.5658817 44.6434228, -63.5736064 44.6534371, -63.5879888 44.6621115))",Downtown,,9,Dangerous,9.0
"POLYGON ((-63.5947201 44.6450717, -63.6015872 44.6338954, -63.5669283 44.6168063, -63.5583198 44.6270088, -63.5658817 44.6434228, -63.5748081 44.64098, -63.5947201 44.6450717))",SouthEnd,,5,Dangerous,5.0
"POLYGON ((-63.6730733 44.6890351, -63.6816779 44.6837286, -63.699296 44.6683608, -63.6748096 44.6485383, -63.6504337 44.6431646, -63.6292364 44.6477894, -63.6311833 44.6560305, -63.630598 44.6638159, -63.6420455 44.6711324, -63.648974 44.6856992, -63.6730733 44.6890351))",Clayton Park,,15,Dangerous,15.0
"POLYGON ((-63.6748096 44.6485383, -63.699296 44.6683608, -63.7124654 44.6545203, -63.6964589 44.6269975, -63.6593601 44.6119854, -63.6459705 44.6268922, -63.6504337 44.6431646, -63.6748096 44.6485383))",Bayers Lake,,1,Risky,1.0
"POLYGON ((-63.6504337 44.6431646, -63.6459705 44.6268922, -63.6150715 44.6161401, -63.5779926 44.6097857, -63.5783359 44.621272, -63.6292364 44.6477894, -63.6504337 44.6431646))",Armdale,,1,Risky,1.0
"POLYGON ((-63.6593601 44.6119854, -63.6218283 44.5975964, -63.5593436 44.5643397, -63.5388457 44.5766177, -63.56202 44.6119449, -63.5783359 44.621272, -63.5779926 44.6097857, -63.6150715 44.6161401, -63.6459705 44.6268922, -63.6593601 44.6119854))",Spryfield,,10,Dangerous,10.0
"POLYGON ((-63.5922195 44.674277, -63.5836364 44.6640221, -63.5609771 44.6581614, -63.5475875 44.6525443, -63.532138 44.6571845, -63.5304214 44.6781831, -63.5410644 44.686971, -63.5729934 44.6859946, -63.5922195 44.674277))",Dartmouth Downtown,,5,Dangerous,5.0
"POLYGON ((-63.5304214 44.6781831, -63.5317478 44.664311, -63.4996471 44.6563745, -63.4656581 44.6550313, -63.4443721 44.6683399, -63.4687308 44.6958853, -63.479391 44.7033673, -63.5008487 44.6972665, -63.5304214 44.6781831))",Cole Harbour,,1,Risky,1.0
"POLYGON ((-63.532138 44.6571845, -63.5475875 44.6525443, -63.5491924 44.6440402, -63.5182933 44.6205856, -63.5049037 44.6198525, -63.4769229 44.6276718, -63.4996471 44.6563745, -63.5317478 44.664311, -63.532138 44.6571845))",Wooside,,2,Risky,2.0
"POLYGON ((-63.4769229 44.6276718, -63.5049037 44.6198525, -63.5182933 44.6205856, -63.5491924 44.6440402, -63.5595555 44.6430963, -63.5506484 44.6023356, -63.4545212 44.5788649, -63.417968 44.6070972, -63.4129806 44.6343479, -63.4443721 44.6683399, -63.4656581 44.6550313, -63.4996471 44.6563745, -63.4769229 44.6276718))",Eastern Passage,,0,Safe,
"POLYGON ((-63.5304214 44.6781831, -63.5008487 44.6972665, -63.479391 44.7033673, -63.5380796 44.7424787, -63.630087 44.7356506, -63.6203215 44.6748421, -63.5922195 44.674277, -63.5729934 44.6859946, -63.5410644 44.686971, -63.5304214 44.6781831))",Burnside,,9,Dangerous,9.0
"POLYGON ((-63.7245932 44.7337479, -63.7071309 44.7191104, -63.699296 44.6683608, -63.6816779 44.6837286, -63.6730733 44.6890351, -63.648974 44.6856992, -63.6238517 44.6997154, -63.630087 44.7356506, -63.5934439 44.7381378, -63.5944739 44.7574005, -63.6270896 44.7778754, -63.6452857 44.7822619, -63.646659 44.7622762, -63.7245932 44.7337479))",Bedford Basin,,4,Risky,4.0
"POLYGON ((-63.89439 44.7758042, -63.8676108 44.7255773, -63.7907065 44.7070359, -63.699296 44.6683608, -63.7071309 44.7191104, -63.7245932 44.7337479, -63.8224402 44.7905467, -63.89439 44.7758042))",Hammonds Plains,,0,Safe,
"POLYGON ((-63.7015727 44.7423062, -63.646659 44.7622762, -63.6452857 44.7822619, -63.6713603 44.8076225, -63.700886 44.8095711, -63.7201121 44.7817973, -63.7015727 44.7423062))",Lower Sackville,,3,Risky,3.0
"POLYGON ((-63.700886 44.8095711, -63.6713603 44.8076225, -63.6953929 44.8290535, -63.7496379 44.8056738, -63.7757304 44.7622989, -63.7245932 44.7337479, -63.7015727 44.7423062, -63.7201121 44.7817973, -63.700886 44.8095711))",Middle Sackville,,0,Safe,
"POLYGON ((-63.7757304 44.7622989, -63.7496379 44.8056738, -63.6953929 44.8290535, -63.7215033 44.8543481, -63.797721 44.8392564, -63.8224402 44.7905467, -63.7757304 44.7622989))",Upper Sackville,,0,Safe,
"POLYGON ((-63.6713603 44.8076225, -63.6452857 44.7822619, -63.6270896 44.7778754, -63.5944739 44.7574005, -63.5934439 44.7381378, -63.5380796 44.7424787, -63.4706134 44.8260317, -63.5413379 44.8391793, -63.6120624 44.7982658, -63.6713603 44.8076225))",Waverley,,0,Safe,
"POLYGON ((-63.5413379 44.8391793, -63.6292285 44.9218916, -63.7215033 44.8543481, -63.6713603 44.8076225, -63.6120624 44.7982658, -63.5413379 44.8391793))",Fall River,,0,Safe,
"POLYGON ((-63.6292285 44.9218916, -63.5413379 44.8391793, -63.4706134 44.8260317, -63.4095169 44.9031876, -63.3258533 45.0750618, -63.4796618 45.0294634, -63.6292285 44.9218916))",Enfield,,0,Safe,
"POLYGON ((-62.4927477 45.3557549, -62.5349339 45.0453861, -62.2163304 44.8441827, -61.699973 45.0356824, -61.6697606 45.0919413, -61.7566637 45.2514373, -62.4927477 45.3557549))",PortersLake,,0,Safe,
"POLYGON ((-62.5306026 45.1316771, -62.8354732 45.0744876, -63.027734 44.9375821, -62.7371935 44.6469087, -62.2641842 44.8714399, -62.5349339 45.0453861, -62.5306026 45.1316771))",Sheet Harbour,,1,Risky,1.0
"POLYGON ((-62.5306026 45.1316771, -62.4927477 45.3557549, -63.3258533 45.0750618, -63.4095169 44.9031876, -63.5380796 44.7424787, -63.4687308 44.6958853, -63.4129806 44.6343479, -63.3112291 44.6175904, -62.7819292 44.6814084, -63.027734 44.9375821, -62.8354732 45.0744876, -62.5306026 45.1316771))",Musquodoboit Harbour,,2,Risky,2.0
"POLYGON ((-63.959846 44.5648522, -63.949866 44.4888737, -63.8547893 44.4644787, -63.8177104 44.5452807, -63.8698955 44.5751246, -63.959846 44.5648522))",Peggys Cove,,0,Safe,
"POLYGON ((-63.9642856 44.5916502, -63.959846 44.5648522, -63.8698955 44.5751246, -63.8177104 44.5452807, -63.6964589 44.6269975, -63.7124654 44.6545203, -63.699296 44.6683608, -63.7907065 44.7070359, -63.8676108 44.7255773, -63.9642856 44.5916502))",St Margarets Bay,,1,Risky,1.0
"POLYGON ((-63.6964589 44.6269975, -63.8177104 44.5452807, -63.8547893 44.4644787, -63.690314 44.42614, -63.5021732 44.4952413, -63.5593436 44.5643397, -63.6218283 44.5975964, -63.6964589 44.6269975))",Terence Bay,,1,Risky,1.0
